144.89,164.53,2
287.35,278.02,1
260.08,239.73,2
707.34,182.63,2
877.74,436.56,2
696.87,276.66,2
728.81,346.29,2
905.39,21.12,2
172.57,403.04,1
988.21,411.04,2
295.16,102.1,2
156.03,476.87,1
249.15,142.61,2
289.12,483.03,1
228.47,262.51,2
333.07,243.59,2
212.43,605.77,1
640.85,715.08,1
950.46,512.86,2
247.39,510.2,1
395.54,406.19,1
673.54,349.62,2
102.84,231.26,1
175.07,299.77,1
722.87,552.06,1
93.69,374.12,1
914.59,434.59,2
37.37,596.64,1
776.86,229.88,2
233.19,714.69,1
12.69,586.32,1
298.8,390.18,2
0.35,716.39,1
666.95,424.91,2
608.77,18.86,2
585.4,528.06,2
85.12,628.38,1
149.04,59.01,2
253.84,658.44,1
435.11,643.25,1
